,date,open,high,low,close,volume
340,2020-09-16,439.66,457.79,435.31,441.76,516022.0
341,2020-09-17,415.52,437.79,408.00,423.43,534571.0
342,2020-09-18,448.00,451.00,428.80,442.15,585881.0
343,2020-09-21,453.34,455.68,407.07,449.39,722828.0
344,2020-09-22,429.60,437.76,417.60,424.23,472378.0
345,2020-09-23,405.10,412.15,375.88,380.36,607225.0
346,2020-09-24,364.00,399.50,351.30,387.79,705086.0
347,2020-09-25,393.31,408.74,391.30,407.34,471284.0
348,2020-09-28,424.79,428.08,415.55,421.20,323655.0
349,2020-09-29,415.76,428.45,411.60,419.07,336364.0
350,2020-09-30,421.02,433.93,420.47,429.01,317593.0
351,2020-10-01,440.76,448.88,434.42,448.16,337387.0
352,2020-10-02,421.21,439.13,415.00,415.09,466838.0
353,2020-10-05,423.35,433.64,419.33,425.68,301772.0
354,2020-10-06,423.77,428.78,406.05,413.98,340351.0
355,2020-10-07,419.76,429.90,413.85,425.30,294653.0
356,2020-10-08,438.50,439.00,425.30,425.92,275690.0
357,2020-10-09,430.01,434.59,426.46,434.00,198883.0
358,2020-10-12,441.98,448.74,438.58,442.30,261178.0
359,2020-10-13,443.35,448.89,436.60,446.65,234747.0
360,2020-10-14,449.80,465.90,447.35,461.30,330118.0
361,2020-10-15,450.31,456.57,442.50,448.88,241151.0
362,2020-10-16,454.19,455.95,438.85,439.67,221299.0
363,2020-10-19,446.35,447.00,428.87,430.83,250717.0
364,2020-10-20,431.75,431.75,419.05,421.94,210909.0
365,2020-10-21,422.89,432.95,421.25,422.64,169502.0
366,2020-10-22,442.00,445.23,424.51,425.79,264495.0
367,2020-10-23,421.61,422.89,407.38,420.63,218727.0
368,2020-10-26,411.76,425.76,410.00,420.28,192581.0
369,2020-10-27,423.90,430.50,420.10,424.68,151306.0
370,2020-10-28,416.48,418.60,406.00,406.02,157606.0
371,2020-10-29,409.91,418.06,406.46,410.83,144736.0
372,2020-10-30,406.89,407.60,379.11,388.04,275241.0
373,2020-11-02,394.00,406.98,392.30,400.51,195558.0
374,2020-11-03,409.76,427.77,406.69,423.90,236600.0
375,2020-11-04,430.40,435.40,417.10,420.98,202802.0
376,2020-11-05,428.30,440.00,424.00,438.09,185211.0
377,2020-11-06,436.10,436.57,424.28,429.95,148292.0
378,2020-11-09,439.74,452.50,421.00,421.26,220430.0
379,2020-11-10,420.10,420.10,396.03,410.36,198435.0
380,2020-11-11,416.60,418.70,410.58,417.13,114125.0
381,2020-11-12,415.20,423.00,409.52,411.76,123366.0
382,2020-11-13,410.85,412.54,401.66,408.50,123319.0
383,2020-11-16,408.57,412.45,404.08,408.09,114430.0
384,2020-11-17,460.26,462.00,433.01,441.61,396403.0
385,2020-11-18,448.05,496.00,443.50,486.64,523670.0
386,2020-11-19,492.00,508.62,487.57,499.27,407592.0
387,2020-11-20,497.99,502.50,489.06,489.61,209240.0
388,2020-11-23,503.50,526.00,501.79,521.85,322558.0
389,2020-11-24,540.42,559.99,526.20,555.38,339852.0
390,2020-11-25,550.16,574.00,545.37,574.00,306796.0
391,2020-11-27,581.84,598.78,578.45,585.76,235673.0
392,2020-11-30,602.21,607.80,554.51,567.60,383939.0
393,2020-12-01,597.59,597.85,572.05,584.76,253346.0
394,2020-12-02,556.20,571.54,541.21,568.82,288981.0
395,2020-12-03,590.02,598.97,582.43,593.38,256426.0
396,2020-12-04,591.01,599.04,585.50,599.04,181235.0
397,2020-12-07,604.89,648.79,603.05,641.76,360615.0
398,2020-12-08,625.00,651.28,618.50,649.88,392594.0
399,2020-12-09,653.69,654.32,588.00,604.48,433040.0
400,2020-12-10,574.37,627.75,566.34,627.07,430423.0
401,2020-12-11,615.62,624.00,596.80,609.99,306392.0
402,2020-12-14,619.00,642.75,610.20,639.83,351484.0
403,2020-12-15,643.28,646.90,623.80,633.25,306227.0
404,2020-12-16,628.28,632.50,605.00,622.77,278138.0
405,2020-12-17,628.35,658.82,619.53,655.90,365960.0
